EventId,Label
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
Q14,0
